# y+ ()       
# Time        	patch         	min           	max           	average       
414           	trup	8.960186e+00	3.910316e+02	6.105675e+01
415           	trup	8.985362e+00	3.910735e+02	6.105978e+01
416           	trup	9.011119e+00	3.911156e+02	6.106279e+01
417           	trup	9.037447e+00	3.911577e+02	6.106576e+01
418           	trup	9.064316e+00	3.911997e+02	6.106870e+01
419           	trup	9.091694e+00	3.912414e+02	6.107160e+01
420           	trup	9.119588e+00	3.912830e+02	6.107447e+01
421           	trup	9.147999e+00	3.913243e+02	6.107730e+01
422           	trup	9.176931e+00	3.913654e+02	6.108010e+01
423           	trup	9.206385e+00	3.914062e+02	6.108286e+01
424           	trup	9.236346e+00	3.914469e+02	6.108559e+01
425           	trup	9.266791e+00	3.914874e+02	6.108828e+01
426           	trup	9.297689e+00	3.915278e+02	6.109093e+01
427           	trup	9.329004e+00	3.915680e+02	6.109354e+01
428           	trup	9.360711e+00	3.916080e+02	6.109612e+01
429           	trup	9.392795e+00	3.916478e+02	6.109866e+01
430           	trup	9.425254e+00	3.916874e+02	6.110115e+01
431           	trup	9.458073e+00	3.917267e+02	6.110361e+01
432           	trup	9.491234e+00	3.917657e+02	6.110604e+01
433           	trup	9.524713e+00	3.918045e+02	6.110842e+01
434           	trup	9.558481e+00	3.918430e+02	6.111076e+01
435           	trup	9.592517e+00	3.918812e+02	6.111306e+01
436           	trup	9.626793e+00	3.919192e+02	6.111532e+01
437           	trup	9.661294e+00	3.919569e+02	6.111755e+01
438           	trup	9.696007e+00	3.919943e+02	6.111973e+01
439           	trup	9.730910e+00	3.920315e+02	6.112187e+01
440           	trup	9.765987e+00	3.920685e+02	6.112397e+01
441           	trup	9.801216e+00	3.921054e+02	6.112604e+01
442           	trup	9.836571e+00	3.921422e+02	6.112806e+01
443           	trup	9.872017e+00	3.921788e+02	6.113004e+01
444           	trup	9.907530e+00	3.922153e+02	6.113198e+01
445           	trup	9.943074e+00	3.922516e+02	6.113388e+01
446           	trup	9.978628e+00	3.922878e+02	6.113574e+01
447           	trup	1.001417e+01	3.923238e+02	6.113757e+01
448           	trup	1.004969e+01	3.923596e+02	6.113936e+01
449           	trup	1.008516e+01	3.923954e+02	6.114111e+01
450           	trup	1.012058e+01	3.924312e+02	6.114283e+01
451           	trup	1.015591e+01	3.924670e+02	6.114451e+01
452           	trup	1.019113e+01	3.925028e+02	6.114615e+01
453           	trup	1.022621e+01	3.925387e+02	6.114776e+01
454           	trup	1.026112e+01	3.925747e+02	6.114934e+01
455           	trup	1.029581e+01	3.926107e+02	6.115088e+01
456           	trup	1.033028e+01	3.926468e+02	6.115239e+01
457           	trup	1.036449e+01	3.926829e+02	6.115386e+01
458           	trup	1.039843e+01	3.927189e+02	6.115530e+01
459           	trup	1.043211e+01	3.927550e+02	6.115670e+01
460           	trup	1.046548e+01	3.927914e+02	6.115807e+01
461           	trup	1.049853e+01	3.928280e+02	6.115940e+01
462           	trup	1.053124e+01	3.928650e+02	6.116070e+01
